instant,dteday,season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,total_count,hours,windspeed_category
1,2011-01-01,springer,2011,jan,no,Minggu,no,Misty/Cloudy,0.344167,0.363625,0.805833,10.749882,331,654,985,0,Low
2,2011-01-02,springer,2011,jan,no,Senin,no,Misty/Cloudy,0.363478,0.353739,0.696087,16.652113,131,670,801,1,Low
3,2011-01-03,springer,2011,jan,no,Selasa,yes,Clear/Partly cloudy,0.196364,0.189405,0.437273,16.636703,120,1229,1349,2,Low
4,2011-01-04,springer,2011,jan,no,Rabu,yes,Clear/Partly cloudy,0.2,0.212122,0.590435,10.739832,108,1454,1562,3,Low
5,2011-01-05,springer,2011,jan,no,Kamis,yes,Clear/Partly cloudy,0.226957,0.22927,0.436957,12.522300000000001,82,1518,1600,4,Low
6,2011-01-06,springer,2011,jan,no,Jumat,yes,Clear/Partly cloudy,0.204348,0.233209,0.518261,6.0008684,88,1518,1606,5,Low
7,2011-01-07,springer,2011,jan,no,Sabtu,yes,Misty/Cloudy,0.196522,0.208839,0.498696,11.304642,148,1362,1510,6,Low
8,2011-01-08,springer,2011,jan,no,Minggu,no,Misty/Cloudy,0.165,0.162254,0.535833,17.875868,68,891,959,7,Low
9,2011-01-09,springer,2011,jan,no,Senin,no,Clear/Partly cloudy,0.138333,0.116175,0.434167,24.25065,54,768,822,8,Medium
10,2011-01-10,springer,2011,jan,no,Selasa,yes,Clear/Partly cloudy,0.150833,0.150888,0.482917,14.958889,41,1280,1321,9,Low
11,2011-01-11,springer,2011,jan,no,Rabu,yes,Misty/Cloudy,0.169091,0.191464,0.686364,8.182844000000001,43,1220,1263,10,Low
12,2011-01-12,springer,2011,jan,no,Kamis,yes,Clear/Partly cloudy,0.172727,0.160473,0.599545,20.410009,25,1137,1162,11,Low
13,2011-01-13,springer,2011,jan,no,Jumat,yes,Clear/Partly cloudy,0.165,0.150883,0.470417,20.166999999999998,38,1368,1406,12,Low
14,2011-01-14,springer,2011,jan,no,Sabtu,yes,Clear/Partly cloudy,0.16087,0.188413,0.537826,8.478716,54,1367,1421,13,Low
15,2011-01-15,springer,2011,jan,no,Minggu,no,Misty/Cloudy,0.233333,0.248112,0.49875,10.583521,222,1026,1248,14,Low
16,2011-01-16,springer,2011,jan,no,Senin,no,Clear/Partly cloudy,0.231667,0.234217,0.48375,12.625010999999999,251,953,1204,15,Low
17,2011-01-17,springer,2011,jan,yes,Selasa,no,Misty/Cloudy,0.175833,0.176771,0.5375,12.999139,117,883,1000,16,Low
